Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 21,     Pool, 32, 80, 60, 32, 40, 30, 32,  COL, 0, 0, 4860, 4860, 1, 1, 1,,,,,,,,, L2, DMA, 5056, 5056, 32, 161792, 0, 0, ,,,,,,,, MSMC, CPU, 1216, 1200, 32, 39040, 0, 27880, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 22,     Pool, 32, 40, 30, 32, 20, 15, 32,  COL, 0, 0, 1200, 1200, 1, 1, 1,,,,,,,,, L2, DMA, 1216, 1216, 32, 38912, 0, 0, ,,,,,,,, MSMC, CPU, 448, 358, 32, 14464, 22, 70ea, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 23,     Conv, 32, 20, 15, 64, 20, 15, 32, ROW_L, 44, 64, 294, 358, 1, 1, 1,,,,,,,,, L2, DMA, 448, 448, 32, 14336, 0, 0, ,,,,,,,, MSMC, CPU, 448, 358, 64, 28800, 22, 6a, ,,,,,,,, L2, DMA, 320, 289, 64, 20480, 0, 3800, MSMC, DMA_ONCE, 320, 320, 64, 20480, 0, 61cc00, 
 24,     Conv, 64, 20, 15, 64, 20, 15, 64, ROW_L, 44, 64, 294, 358, 1, 1, 1,,,,,,,,, L2, DMA, 448, 448, 64, 28672, 0, 0, ,,,,,,,, MSMC, CPU, 448, 358, 64, 28800, 22, 6a, ,,,,,,,, L2, DMA, 704, 577, 64, 45056, 0, 7000, MSMC, DMA_ONCE, 704, 704, 64, 45056, 0, 611c00, 
 25,     Conv, 32, 20, 15, 64, 20, 15, 32, ROW_L, 0, 0, 315, 315, 1, 1, 1,,,,,,,,, L2, DMA, 320, 320, 32, 10240, 0, 0, ,,,,,,,, MSMC, CPU, 448, 358, 64, 28800, 22, 70ea, ,,,,,,,, L2, DMA, 33, 33, 64, 2176, 0, 2800, MSMC, DMA_ONCE, 33, 33, 64, 2176, 0, 628480, 
 26,  EltWise, 128, 20, 15, 64, 20, 15, 128,  COL, 0, 0, 315, 315, 1, 1, 1,,,,,,,,, L2, DMA, 448, 448, 64, 57344, 0, 0, ,,,,,,,, MSMC, CPU, 448, 358, 64, 28800, 22, 6a, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 27,     Conv, 64, 20, 15, 16, 20, 15, 64, ROW_L, 0, 0, 315, 315, 1, 1, 1,,,,,,,,, L2, DMA, 320, 320, 64, 20480, 0, 0, ,,,,,,,, MSMC, CPU, 448, 358, 16, 7296, 22, 6a, ,,,,,,,, L2, DMA, 64, 64, 16, 1024, 0, 5000, MSMC, DMA_ONCE, 64, 64, 16, 1024, 0, 629300, 
 28,   Resize, 16, 20, 15, 16, 40, 30, 16,  COL, 0, 0, 379, 379, 1, 1, 1,,,,,,,,, L2, DMA, 448, 448, 16, 7168, 0, 0, ,,,,,,,, MSMC, CPU, 1344, 1313, 16, 21632, 42, 4ecd6, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 29,   Resize, 16, 40, 30, 16, 160, 120, 16,  COL, 0, 0, 1313, 1313, 1, 1, 1,,,,,,,,, L2, DMA, 1344, 1344, 16, 21504, 0, 0, ,,,,,,,, MSMC, CPU, 20160, 20090, 16, 322688, 326, 3a, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 30,   Resize, 16, 160, 120, 16, 640, 480, 16,  COL, 324, 0, 9720, 19768, 32, 32, 32,,,,,,,,, L2, DMA, 20088, 20088, 1, 20096, 0, 0, MSMC, CPU, 310730, 0, 1, 310730, 0, 4ec80, DDR, DMA, 310730, 310730, 16, 4972800, 1286, 1c77afa, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 31,   Concat, 64, 640, 480, 64, 640, 480, 64,  COL, 0, 0, 153840, 307680, 128, 128, 128,,,,,,,,, L2, DMA, 307680, 307680, 1, 307712, 0, 0, MSMC, CPU, 307200, 0, 1, 307200, 0, 0, DDR, DMA, 307200, 307200, 64, 19661824, 0, 0, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 32,     Conv, 64, 640, 480, 65, 640, 480, 64, ROW_C, 0, 0, 2048, 307200, 150, 1, 150,,,,,,,,, L2, DMA, 4096, 4096, 64, 262144, 0, 0, MSMC, CPU, 2048, 0, 65, 266240, 0, 0, DDR, DMA, 309248, 307200, 65, 20102144, 0, 12c0400, ,,,,,,,, L2, DMA, 64, 64, 65, 4224, 0, 40000, MSMC, DMA_ONCE, 64, 64, 65, 4224, 0, 625c00, 
 34,    Slice, 65, 640, 480, 1, 640, 480, 65,  COL, 0, 0, 153600, 307200, 130, 1, 130,,,,,,,,, L2, DMA, 307200, 307200, 1, 307200, 0, 0, ,,,,,,,, MSMC, CPU, 307200, 307200, 1, 307328, 0, 0, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 35, BatchNorm, 1, 640, 480, 1, 640, 480, 1,  COL, 0, 0, 307200, 307200, 1, 1, 1,,,,,,,,, L2, DMA, 307264, 307264, 1, 307328, 0, 0, MSMC, CPU, 307200, 0, 1, 307200, 0, 4b080, DDR, DMA, 307200, 307200, 1, 308224, 0, 0, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 36,     Data, 1, 640, 480, 0, 0, 0, 1, FRAME, 0, 0, 307200, 307200, 1, 1, 1,,,,,,,,, L2, DMA, 0, 307200, 1, 0, 0, 0, ,,,,,,,, DDR, CPU, 1228800, 0, 0, 3687424, 0, 0, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 33,    Slice, 65, 640, 480, 64, 640, 480, 65,  COL, 0, 0, 153600, 307200, 130, 128, 130,,,,,,,,, L2, DMA, 307200, 307200, 1, 307200, 0, 0, MSMC, CPU, 307200, 0, 1, 307200, 0, 0, DDR, DMA, 307200, 307200, 64, 19661824, 0, 0, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 37,     Data, 64, 640, 480, 0, 0, 0, 64, FRAME, 0, 0, 307200, 307200, 1, 1, 1,,,,,,,,, MSMC, DMA, 0, 307200, 2, 0, 0, 0, ,,,,,,,, DDR, CPU, 1228800, 0, 0, 3687424, 0, 0, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
